UMAP1,UMAP2
7.5957847,-2.7844934
11.97096,10.186959
-1.2018899,3.4268577
2.5683532,8.850291
-3.0146418,3.9792635
2.3244162,3.8751416
5.8715887,0.76403576
11.462495,10.49617
7.7848334,-0.63961226
5.4301953,1.4432634
-3.235038,3.3594294
-0.8399146,7.038662
7.1439147,0.8001307
-1.5356113,7.3017025
10.592982,9.318704
9.612259,10.08696
11.426795,10.084612
5.061034,1.2726681
6.6095557,1.2556931
-3.0622241,3.9133894
6.349899,1.3605329
1.2711631,5.30425
10.639089,10.297385
-3.196922,1.8619697
0.63177186,5.8543806
2.9831495,3.529898
1.8527688,8.170642
1.5234977,4.475759
-2.8657494,3.3758345
9.95985,8.935337
-2.1265996,6.876132
-1.5656978,3.003822
11.297611,6.924696
3.053981,8.799684
6.2644687,0.41005054
1.0203973,6.0642343
5.853366,0.78952694
7.519058,-2.8624418
1.4741348,5.165899
-1.5515037,7.4329596
9.628963,9.02292
5.0302496,2.1765833
-2.459248,7.151794
7.7981544,-2.4260974
1.4899191,4.4410057
10.44116,11.011258
6.9146457,-2.1245763
-1.2574036,7.81288
11.923996,10.02503
3.1789553,8.786678
7.264868,0.9706092
-1.6140625,7.969007
6.8316975,-3.128484
-2.6236305,1.8883945
11.194099,10.60077
9.973343,10.079424
7.239699,-2.9410615
-3.4561992,3.4438396
-1.7495307,3.6787057
11.559124,9.967861
-1.6535009,7.169856
7.006388,-2.1203368
9.691242,9.145662
7.75403,-0.6578983
11.79951,9.409847
4.8790364,1.304273
1.640978,4.445944
2.821392,3.5486326
0.94605017,6.1832027
7.3446345,1.1477928
10.120578,9.653789
6.4942975,1.3009598
10.201032,9.124967
10.9456,7.798505
-2.6534054,3.4061482
12.017485,10.854821
11.984386,9.9369755
7.2340593,1.0946842
-1.8519309,6.5014696
11.233946,7.232641
12.059139,10.002298
9.614325,9.084928
4.886394,1.1805955
1.4253541,8.500858
10.704989,10.425202
10.382171,9.38138
10.091397,8.695833
9.656789,9.132571
5.9874864,0.69050634
12.081717,10.203547
-3.5190701,1.8631572
11.864842,10.904294
7.314787,-0.06741198
-3.304459,2.0031862
2.5605004,3.6350298
11.725503,7.2223663
10.617715,10.360149
11.3987875,10.611041
11.649523,10.961564
1.5322464,4.381746
9.897782,8.901712
6.957295,1.2512398
4.9709954,1.1657535
3.1292703,8.850776
12.4327965,9.912667
1.4567943,7.635099
10.349138,9.560381
1.2363455,3.6890297
5.1299787,1.71502
4.9878087,1.478582
4.7479134,1.8089937
0.49012265,5.4188843
11.63563,10.758587
9.330833,9.729156
12.83002,7.4303007
10.799098,8.6596775
1.357908,5.7538285
6.744244,-3.075158
